term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes,options,desc_en,desc_vi
social media,mạng xã hội,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,mạng xã hội,"online communication tool for entrepreneurs to connect with consumers, especially younger demographics","công cụ giao tiếp trực tuyến giúp doanh nhân kết nối với người tiêu dùng, đặc biệt là các nhóm khách hàng trẻ"
tagline,khẩu hiệu thương hiệu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,khẩu hiệu thương hiệu,short and catchy positioning statement that quickly communicate some core aspect of the brand to the consumer,"câu khẩu hiệu ngắn gọn, dễ nhớ giúp nhanh chóng truyền tải một khía cạnh cốt lõi của thương hiệu tới người tiêu dùng"
targeting,lựa chọn thị trường mục tiêu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,lựa chọn thị trường mục tiêu,selecting a customer group based on their ability and willingness to buy,việc lựa chọn một nhóm khách hàng dựa trên khả năng và mức độ sẵn sàng mua của họ
total available market (tam),tổng thị trường khả dụng (TAM),other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 8, Chương 11",tổng thị trường khả dụng (TAM),total perceived demand for a product or service within the marketplace,tổng nhu cầu được nhận thức đối với một sản phẩm hoặc dịch vụ trong thị trường
validation,xác thực,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,xác thực,act of verifying that a product can be successful with a target audience,hành động xác minh rằng một sản phẩm có thể thành công với một nhóm khách hàng mục tiêu
viral marketing,tiếp thị lan truyền,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tiếp thị lan truyền,marketing that uses engaging content in the hopes that viewers will share it on their personal and social media networks,hình thức marketing sử dụng nội dung hấp dẫn với kỳ vọng người xem sẽ chia sẻ nó trên các mạng cá nhân và mạng xã hội
word-of-mouth (wom) marketing,tiếp thị truyền miệng (WOM),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8,tiếp thị truyền miệng (WOM),promotion in which a satisfied customer tells others about their positive experience with a good or service,hình thức quảng bá trong đó một khách hàng hài lòng chia sẻ với người khác về trải nghiệm tích cực của họ đối với một sản phẩm hoặc dịch vụ
customer acquisition,thu hút khách hàng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8 (bổ sung),thu hút khách hàng,process of attracting and converting prospects into paying customers,quá trình thu hút và chuyển đổi khách hàng tiềm năng thành khách hàng trả tiền
customer retention,giữ chân khách hàng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8 (bổ sung),giữ chân khách hàng,ability of a business to retain customers over time and encourage repeat purchases,khả năng của doanh nghiệp trong việc duy trì khách hàng hiện tại và khuyến khích họ tiếp tục mua hàng
market segmentation strategy,chiến lược phân khúc thị trường,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8 (bổ sung),chiến lược phân khúc thị trường,"strategic approach to dividing a market into distinct groups of customers with similar needs, characteristics, or behaviors","chiến lược phân chia thị trường thành các nhóm khách hàng riêng biệt có nhu cầu, đặc điểm hoặc hành vi tương đồng"
sales funnel,phễu bán hàng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 8 (bổ sung),phễu bán hàng,model that represents the stages a customer goes through from awareness to purchase (and sometimes beyond),"mô hình thể hiện các giai đoạn khách hàng trải qua từ nhận biết, cân nhắc đến mua hàng (và có thể cả sau mua)"
accounting,kế toán,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,kế toán,system of recording and classifying a company’s financial transactions and summarizing and communicating those transactions in the form of financial statements,"hệ thống ghi chép và phân loại các giao dịch tài chính của một công ty, đồng thời tóm tắt và truyền đạt các giao dịch đó dưới dạng các báo cáo tài chính"
accounting equation,phương trình kế toán,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,phương trình kế toán,assets = liabilities \+ equity,tài sản = nợ phải trả \+ vốn chủ sở hữu
accounts payable,các khoản phải trả,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,các khoản phải trả,account that includes vendors that the company owes money to,tài khoản bao gồm các nhà cung cấp mà công ty đang nợ tiền
accounts receivable,các khoản phải thu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,các khoản phải thu,account that includes customers that owe the business money,tài khoản bao gồm các khách hàng đang nợ tiền doanh nghiệp
angel investor,nhà đầu tư thiên thần,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,nhà đầu tư thiên thần,"wealthy, private individual seeking investment options with a greater potential return than is generally available with traditional publicly traded stocks","cá nhân giàu có, đầu tư tư nhân, tìm kiếm các cơ hội đầu tư có khả năng sinh lợi cao hơn so với các cổ phiếu giao dịch công khai truyền thống"
assets,tài sản,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tài sản,items a business owns and derives future use from,những tài sản mà doanh nghiệp sở hữu và mang lại lợi ích trong tương lai
balance sheet,bảng cân đối kế toán,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,bảng cân đối kế toán,financial statement that summarizes a company’s financial condition according to the accounting equation,báo cáo tài chính tóm tắt tình hình tài chính của công ty theo phương trình kế toán
bartering,trao đổi hàng hóa (barter),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,trao đổi hàng hóa (barter),exchanging goods or services for other goods or services instead of for cash,việc trao đổi hàng hóa hoặc dịch vụ lấy hàng hóa hoặc dịch vụ khác thay vì tiền mặt
burn rate,tốc độ đốt tiền,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 9, Chương 15",tốc độ đốt tiền,rate at which cash outflow exceeds cash inflow,tốc độ mà dòng tiền chi ra vượt quá dòng tiền thu vào
charitable organization,tổ chức từ thiện,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tổ chức từ thiện,nonprofit company founded for altruistic purposes,tổ chức phi lợi nhuận được thành lập vì các mục đích vị tha
collateral,tài sản thế chấp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tài sản thế chấp,something of value pledged to secure a loan,tài sản có giá trị được dùng để đảm bảo cho một khoản vay
contribution margin,lợi nhuận đóng góp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,lợi nhuận đóng góp,gross profit from a single item sold,lợi nhuận gộp từ một đơn vị sản phẩm được bán
cost of goods sold,giá vốn hàng bán,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,giá vốn hàng bán,cost required to produce the product or service,chi phí cần thiết để sản xuất sản phẩm hoặc dịch vụ
credit,tín dụng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tín dụng,lending of funds in exchange for a promise to repay,việc cho vay tiền để đổi lấy cam kết hoàn trả
crowdfunding,gọi vốn cộng đồng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,gọi vốn cộng đồng,financing with investments of small amounts of money from a large number of people,hình thức huy động vốn bằng các khoản đầu tư nhỏ từ một số lượng lớn người
debt financing,tài trợ bằng nợ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tài trợ bằng nợ,"borrowing funds that must be repaid, usually with interest","việc vay vốn phải hoàn trả, thường kèm theo lãi suất"
donation,khoản quyên góp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,khoản quyên góp,financial gift intended to support an organization’s general operations,khoản tiền được tặng nhằm hỗ trợ hoạt động chung của một tổ chức
early stage,giai đoạn đầu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,giai đoạn đầu,company lifecycle stage in which the product or service has begun development,giai đoạn trong vòng đời doanh nghiệp khi sản phẩm hoặc dịch vụ đã bắt đầu được phát triển
equity,vốn chủ sở hữu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,vốn chủ sở hữu,owner’s interest in the assets of the business,phần lợi ích của chủ sở hữu đối với tài sản của doanh nghiệp
equity financing,tài trợ bằng vốn chủ sở hữu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tài trợ bằng vốn chủ sở hữu,funds provided in exchange for a share of ownership in a business,nguồn vốn được cung cấp để đổi lấy một phần quyền sở hữu trong doanh nghiệp
expenses,chi phí,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,chi phí,costs incurred in the normal course of business operations,các chi phí phát sinh trong quá trình hoạt động kinh doanh bình thường
financial statement,báo cáo tài chính,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,báo cáo tài chính,output of an accounting system that is used to make financial decisions,sản phẩm đầu ra của hệ thống kế toán được sử dụng để đưa ra các quyết định tài chính
financing,huy động vốn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,huy động vốn,raising money to fund the startup and operation of a business,việc huy động tiền để tài trợ cho việc khởi nghiệp và vận hành doanh nghiệp
financing activities,hoạt động tài chính,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,hoạt động tài chính,section of the statement of cash flows that shows where new infusions of cash are coming from,phần trong báo cáo lưu chuyển tiền tệ thể hiện nguồn tiền mới được đưa vào
fixed assets,tài sản cố định,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tài sản cố định,"major purchases with a long life, such as buildings, land, and so on","các tài sản lớn có thời gian sử dụng dài như nhà cửa, đất đai, v.v."
fixed costs,chi phí cố định,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 9, chương 11",chi phí cố định,"costs that do not change, regardless of the amount of sales",các chi phí không thay đổi bất kể mức doanh số
funds,nguồn vốn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,nguồn vốn,financial resources for acquiring assets,các nguồn lực tài chính dùng để mua sắm tài sản
grant,khoản tài trợ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,khoản tài trợ,financial gift intended to fund a specific goal or project,khoản tiền được cấp nhằm tài trợ cho một mục tiêu hoặc dự án cụ thể
gross profit,lợi nhuận gộp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,lợi nhuận gộp,selling price of a product or service minus its direct costs,giá bán của sản phẩm hoặc dịch vụ trừ đi các chi phí trực tiếp
income (profit-and-loss) statement,báo cáo kết quả kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,báo cáo kết quả kinh doanh,financial statement that describes how much a company earned while the business was operating and what costs were incurred to generate those revenues,báo cáo tài chính mô tả doanh nghiệp đã kiếm được bao nhiêu trong quá trình hoạt động và các chi phí đã phát sinh để tạo ra doanh thu đó
initial public offering (ipo),phát hành cổ phiếu lần đầu ra công chúng (IPO),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,phát hành cổ phiếu lần đầu ra công chúng (IPO),process by which a company lists its ownership shares on a public stock exchange,quá trình mà một công ty niêm yết cổ phần của mình trên thị trường chứng khoán công khai
investing activities,hoạt động đầu tư,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,hoạt động đầu tư,section of the statement of cash flows that shows major purchases of equipment or facilities,phần trong báo cáo lưu chuyển tiền tệ thể hiện các khoản mua sắm lớn về thiết bị hoặc cơ sở vật chất
liability,nợ phải trả,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,nợ phải trả,company’s debt to another party,khoản nợ của công ty đối với một bên khác
mature stage,giai đoạn trưởng thành,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,giai đoạn trưởng thành,company lifecycle stage in which the business has reached commercial viability,giai đoạn trong vòng đời doanh nghiệp khi doanh nghiệp đã đạt được tính khả thi thương mại
moonlighting,làm thêm ngoài giờ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,làm thêm ngoài giờ,earning income from a source outside of one’s primary employment,việc kiếm thu nhập từ một nguồn ngoài công việc chính
net income,lợi nhuận ròng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,lợi nhuận ròng,revenue minus expenses,doanh thu trừ chi phí
operating activities,hoạt động kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,hoạt động kinh doanh,"section of the statement of cash flows that shows day-to-day activities of the business, such as purchasing supplies, paying rent, and receiving cash from customers","phần trong báo cáo lưu chuyển tiền tệ thể hiện các hoạt động hàng ngày của doanh nghiệp như mua vật tư, trả tiền thuê và thu tiền từ khách hàng"
program services,dịch vụ chương trình,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,dịch vụ chương trình,basic offerings that a nonprofit provides to generate a portion of its revenue to sustain operations,các dịch vụ cơ bản mà tổ chức phi lợi nhuận cung cấp để tạo ra một phần doanh thu nhằm duy trì hoạt động
projection,dự báo,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,dự báo,forecast of the future operations of a business,dự báo về hoạt động trong tương lai của doanh nghiệp
revenue,doanh thu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,doanh thu,amount a business earns through product sales or providing a service,số tiền mà doanh nghiệp kiếm được thông qua việc bán sản phẩm hoặc cung cấp dịch vụ
run rate,tốc độ vận hành (run rate),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tốc độ vận hành (run rate),cost of running a business over a specified period of time,chi phí để vận hành doanh nghiệp trong một khoảng thời gian xác định
seed stage,giai đoạn hạt giống,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,giai đoạn hạt giống,company lifecycle stage in which the business is largely still an idea,giai đoạn trong vòng đời doanh nghiệp khi doanh nghiệp chủ yếu vẫn còn ở dạng ý tưởng
statement of cash flows,báo cáo lưu chuyển tiền tệ,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,báo cáo lưu chuyển tiền tệ,financial statement that explains the sources and uses of the company’s cash,báo cáo tài chính giải thích các nguồn và việc sử dụng tiền của công ty
sustainable strategy,chiến lược bền vững,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,chiến lược bền vững,strategy that can maintain an organization’s financial stability,chiến lược có thể duy trì sự ổn định tài chính của tổ chức
tax-exempt status,tình trạng miễn thuế,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,tình trạng miễn thuế,treatment under U.S. tax law that removes the burden of taxes from nonprofit organizations,chế độ theo luật thuế Hoa Kỳ giúp miễn nghĩa vụ thuế cho các tổ chức phi lợi nhuận
valuation,định giá,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,định giá,estimate of a company’s worth,ước tính giá trị của một công ty
variable costs,chi phí biến đổi,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 9, Chương 11",chi phí biến đổi,costs that fluctuate with the level of revenue,các chi phí biến động theo mức doanh thu
venture capitalist,nhà đầu tư mạo hiểm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,nhà đầu tư mạo hiểm,individual or investment firm that specializes in funding startup companies,cá nhân hoặc công ty đầu tư chuyên tài trợ cho các doanh nghiệp khởi nghiệp
working capital,vốn lưu động,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9,vốn lưu động,funds available for day-to-day operations,nguồn vốn sẵn có để phục vụ hoạt động hàng ngày
financial sustainability,tính bền vững tài chính,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9 (bổ sung),tính bền vững tài chính,tính bền vững tài chính,khả năng của một tổ chức trong việc duy trì tình trạng tài chính lành mạnh và tiếp tục hoạt động trong dài hạn mà không phụ thuộc vào các nguồn hỗ trợ không bền vững
cost structure,cơ cấu chi phí,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9 (bổ sung),cơ cấu chi phí,cơ cấu chi phí,cơ cấu và tỷ trọng của các loại chi phí khác nhau (cố định và biến đổi) mà doanh nghiệp phải chịu
financial forecasting,dự báo tài chính,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 9 (bổ sung),dự báo tài chính,dự báo tài chính,"quá trình ước tính các kết quả tài chính trong tương lai dựa trên dữ liệu lịch sử, các giả định và xu hướng thị trường"
born global,doanh nghiệp toàn cầu ngay từ đầu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,doanh nghiệp toàn cầu ngay từ đầu,venture seeking to be a global company from its inception,một doanh nghiệp hướng tới trở thành công ty toàn cầu ngay từ khi được hình thành
build-measure-learn loop,vòng lặp xây dựng – đo lường – học hỏi,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,vòng lặp xây dựng – đo lường – học hỏi,"step-by-step approach on how to maneuver a startup, how to change course if necessary, how to persevere, and how to accelerate the expansion of a business","cách tiếp cận từng bước về cách vận hành một startup, cách thay đổi hướng đi khi cần thiết, cách kiên trì, và cách thúc đẩy việc mở rộng của một doanh nghiệp"
business failure,thất bại kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,thất bại kinh doanh,"ending a business due to the lack of goal attainment, which can include low levels of revenue and profit, or not meeting investors’ expectations","việc chấm dứt một doanh nghiệp do không đạt được các mục tiêu đã đề ra, có thể bao gồm mức doanh thu và lợi nhuận thấp hoặc không đáp ứng được kỳ vọng của nhà đầu tư"
business lifecycle,vòng đời doanh nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,vòng đời doanh nghiệp,"stages companies go through: birth, growth (or expansion to new markets and products), maturity, decline, death or rebirth","các giai đoạn mà doanh nghiệp trải qua: hình thành, tăng trưởng (hoặc mở rộng sang thị trường và sản phẩm mới), trưởng thành, suy thoái, kết thúc hoặc tái sinh"
early adopters,người chấp nhận sớm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,người chấp nhận sớm,people who like to try new things and can be found at the onset of the adoption process for a product,những người thích thử những điều mới và có thể được tìm thấy ở giai đoạn đầu của quá trình chấp nhận một sản phẩm
global entrepreneurship monitor (gem),Global Entrepreneurship Monitor (GEM),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,Global Entrepreneurship Monitor (GEM),organization that researches entrepreneurship around the world,một tổ chức nghiên cứu về hoạt động khởi nghiệp trên toàn thế giới
innovation accounting,kế toán đổi mới,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,kế toán đổi mới,assesses whether the changes made to the product are creating the desired results,việc đánh giá liệu những thay đổi được thực hiện đối với sản phẩm có tạo ra các kết quả mong muốn hay không
iterations,các lần lặp cải tiến,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,các lần lặp cải tiến,small changes to the current version of a product to make it better fit consumer needs,những thay đổi nhỏ đối với phiên bản hiện tại của sản phẩm nhằm làm cho sản phẩm phù hợp hơn với nhu cầu của người tiêu dùng
joint venture,liên doanh,other,approved,medium,auto,,,,false,"Source: glossary.md — Chương 10, Chương 13",liên doanh,temporary partnership in which two different enterprises combine for the purpose of mutual benefits such as sharing of expenses and to work toward shared goals and the associated potential revenue,một quan hệ hợp tác tạm thời trong đó hai doanh nghiệp khác nhau kết hợp với nhau nhằm đạt được lợi ích chung như chia sẻ chi phí và cùng hướng tới các mục tiêu chung cũng như doanh thu tiềm năng liên quan
lean pitch,bài thuyết trình tinh gọn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,bài thuyết trình tinh gọn,verbal delivery of an idea or business plan as a request to a group of investors by an entrepreneur,việc trình bày bằng lời một ý tưởng hoặc kế hoạch kinh doanh như một đề nghị gửi tới một nhóm nhà đầu tư bởi một doanh nhân
lean plan,kế hoạch kinh doanh tinh gọn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,kế hoạch kinh doanh tinh gọn,"brief business plan shown to potential investors and employees that is a fast and effective way to set, manage, and evaluate goals and strategies in a business","một kế hoạch kinh doanh ngắn gọn được trình bày cho các nhà đầu tư và nhân viên tiềm năng, là một cách nhanh chóng và hiệu quả để thiết lập, quản lý và đánh giá các mục tiêu và chiến lược trong doanh nghiệp"
lean startup,khởi nghiệp tinh gọn,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,khởi nghiệp tinh gọn,methodology entrepreneurs use this method to help them innovate by continuously testing their products and getting feedback from customers in real time,một phương pháp luận mà doanh nhân sử dụng nhằm giúp họ đổi mới bằng cách liên tục thử nghiệm sản phẩm của mình và nhận phản hồi từ khách hàng theo thời gian thực
licensing,cấp phép,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,cấp phép,contract in which one enterprise gives permission to another entity to manufacture and sell its products for a royalty,một hợp đồng trong đó một doanh nghiệp cho phép một thực thể khác sản xuất và bán sản phẩm của mình để đổi lấy tiền bản quyền
mergers and acquisitions,sáp nhập và mua lại,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,sáp nhập và mua lại,"when two companies combine, or one buys the majority stake of the other","khi hai công ty hợp nhất với nhau, hoặc một công ty mua phần lớn cổ phần của công ty kia"
pivoting,chuyển hướng chiến lược,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,chuyển hướng chiến lược,"crucial change done to test a hypothesis regarding the basic product, its growth potential, and business model; if something is not working, then a change or a “pivot” needs to take place","một sự thay đổi quan trọng được thực hiện nhằm kiểm định một giả thuyết liên quan đến sản phẩm cốt lõi, tiềm năng tăng trưởng và mô hình kinh doanh; nếu một điều gì đó không hiệu quả, thì cần phải thực hiện một sự thay đổi hay “pivot”"
strategic alliance,liên minh chiến lược,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10,liên minh chiến lược,"arrangement created by two entities to work on a project by sharing some of their strengths and resources, but not actually creating a new entity as in the case of a joint venture","một sự sắp xếp được tạo ra bởi hai thực thể để cùng làm việc trong một dự án bằng cách chia sẻ một phần thế mạnh và nguồn lực của họ, nhưng không thực sự tạo ra một pháp nhân mới như trong trường hợp của liên doanh"
growth strategy,chiến lược tăng trưởng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10 (bổ sung),chiến lược tăng trưởng,"plan outlining how a business intends to expand its market share, revenue, or scale of operations","kế hoạch xác định cách doanh nghiệp mở rộng thị phần, doanh thu hoặc quy mô hoạt động"
market expansion,mở rộng thị trường,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10 (bổ sung),mở rộng thị trường,strategy of entering new markets or reaching new customer segments,chiến lược thâm nhập thị trường mới hoặc tiếp cận các phân khúc khách hàng mới
operational scaling,mở rộng vận hành,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10 (bổ sung),mở rộng vận hành,process of increasing a company’s operational capacity to handle growth efficiently,quá trình mở rộng năng lực vận hành của doanh nghiệp nhằm đáp ứng tăng trưởng một cách hiệu quả
performance metrics,chỉ số đo lường hiệu quả,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 10 (bổ sung),chỉ số đo lường hiệu quả,"quantifiable measures used to evaluate the success or performance of a business, product, or process","các chỉ số định lượng được sử dụng để đánh giá mức độ hiệu quả hoặc hiệu suất của doanh nghiệp, sản phẩm hoặc quy trình"
business model canvas,mô hình kinh doanh canvas,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,mô hình kinh doanh canvas,"developed by Osterwalder and Pigneur, used to develop a business model for a venture, including nine blocks that are mapped out to address customer segments, customer relationships, channels, revenue streams, value propositions, key partners, key activities, key resources, and cost structure","được phát triển bởi Osterwalder và Pigneur, được sử dụng để xây dựng mô hình kinh doanh cho một doanh nghiệp, bao gồm chín thành phần được bố trí nhằm xử lý các phân khúc khách hàng, mối quan hệ khách hàng, kênh phân phối, dòng doanh thu, giá trị đề xuất, đối tác chính, hoạt động chính, nguồn lực chính và cấu trúc chi phí"
business model innovation,đổi mới mô hình kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,đổi mới mô hình kinh doanh,occurs when an existing business fundamentally changes their business model,xảy ra khi một doanh nghiệp hiện có thay đổi một cách căn bản mô hình kinh doanh của mình
business plan,kế hoạch kinh doanh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,kế hoạch kinh doanh,"formal document that typically describes the business and industry, market strategies, sales potential, and competitive analysis, as well as the company’s long-term goals and objectives","tài liệu chính thức thường mô tả doanh nghiệp và ngành, các chiến lược thị trường, tiềm năng bán hàng và phân tích cạnh tranh, cũng như các mục tiêu và mục tiêu dài hạn của công ty"
competitive matrix,ma trận cạnh tranh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,ma trận cạnh tranh,"shows how and why a startup has a clear if not measurable competitive advantage for relevant features/benefits by weight according to customers, such as price and quality in relation to competitors","cho thấy bằng cách nào và vì sao một startup có lợi thế cạnh tranh rõ ràng (dù có thể chưa đo lường được) đối với các đặc điểm/lợi ích liên quan, được đánh giá theo mức độ quan trọng đối với khách hàng, chẳng hạn như giá và chất lượng so với đối thủ"
customer empathy map,bản đồ thấu cảm khách hàng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,bản đồ thấu cảm khách hàng,"portrayal of a target customer, the most promising candidate from a business’ customer segments, which explores the understanding of that person’s condition from their perspective to understand his or her problems and needs","sự mô tả một khách hàng mục tiêu, là ứng viên triển vọng nhất trong các phân khúc khách hàng của doanh nghiệp, nhằm khám phá và hiểu tình trạng của người đó từ góc nhìn của họ để hiểu các vấn đề và nhu cầu của họ"
feasibility analysis,phân tích tính khả thi,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,phân tích tính khả thi,"feasibility analysis is the process of determining if a business idea is viable; it includes testing the viability of your product or service, evaluating your management team, assessing the market for your concept, and estimating financial viability","phân tích tính khả thi là quá trình xác định liệu một ý tưởng kinh doanh có khả thi hay không; bao gồm việc kiểm tra tính khả thi của sản phẩm hoặc dịch vụ, đánh giá đội ngũ quản lý, đánh giá thị trường cho ý tưởng đó và ước tính tính khả thi về tài chính"
financial analysis,phân tích tài chính,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,phân tích tài chính,"forecasts revenue and expenses; projects a financial narrative; and estimates project costs, valuations, and cash flow projections","dự báo doanh thu và chi phí; xây dựng bức tranh tài chính; và ước tính chi phí dự án, định giá và các dự báo dòng tiền"
go-or-no-go decision,quyết định tiếp tục hoặc dừng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,quyết định tiếp tục hoặc dừng,determination to proceed with or abandon a plan or project,việc xác định tiếp tục triển khai hoặc từ bỏ một kế hoạch hoặc dự án
lean model canvas,mô hình lean canvas,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,mô hình lean canvas,"developed by Ash Maurya as a derivation of the original business model canvas; this canvas differs by addressing unfair advantages, problems, solutions, and key metrics rather than customer relationships, key partners, key activities, and key resources","được phát triển bởi Ash Maurya như một phiên bản biến thể của mô hình business model canvas; mô hình này khác ở chỗ tập trung vào lợi thế cạnh tranh không công bằng, vấn đề, giải pháp và các chỉ số chính thay vì mối quan hệ khách hàng, đối tác chính, hoạt động chính và nguồn lực chính"
projected cash flow,dòng tiền dự kiến,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,dòng tiền dự kiến,"outline of preliminary expenses, operating expenses, and reserves","bản phác thảo các chi phí ban đầu, chi phí vận hành và các khoản dự trữ"
social business model canvas,mô hình kinh doanh xã hội canvas,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,mô hình kinh doanh xã hội canvas,"modification of the business model canvas, designed for social entrepreneurship venues; new areas address impact measures around social impacts and its measurement, surplus, beneficiary segments and social and customer value propositions","phiên bản điều chỉnh của business model canvas, được thiết kế cho các doanh nghiệp xã hội; các thành phần mới đề cập đến việc đo lường tác động xã hội, phần thặng dư, các nhóm thụ hưởng và các giá trị đề xuất xã hội và khách hàng"
value proposition canvas,mô hình giá trị đề xuất canvas,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11,mô hình giá trị đề xuất canvas,"one of the nine blocks on the business model canvas, this additional tool developed by Osterwalder and Pigneur is designed to illustrate a deeper dive into customer understanding and value creation of a business",một trong chín thành phần của business model canvas; công cụ bổ sung này do Osterwalder và Pigneur phát triển nhằm minh họa việc đào sâu hơn vào sự hiểu biết khách hàng và việc tạo ra giá trị của doanh nghiệp
strategic alignment,sự phù hợp chiến lược,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 11 (bổ sung),sự phù hợp chiến lược,"degree to which an organization’s activities, resources, and objectives are aligned with its overall strategy","mức độ mà các hoạt động, nguồn lực và mục tiêu của tổ chức được liên kết chặt chẽ với chiến lược tổng thể"
